Timecode,BlendShapeCount,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,TongueOut
00:00:00:10.10,31.0,0.00861941052062314,0.00013222320740167664,0.020248748787707826,0.03985995674156582,0.00578629584015285,0.08263474670093268,0.03433091918850546,0.00039066267345328544,9.377431706524147e-05,0.017401209428498925,0.02422024653060357,0.0029412605072138597,0.003046175937924946,0.0001071850238076508,0.0012186516955807452,0.019561868561140693,0.02079664709162895,5.0377711886539064e-06,0.0002098201875924037,0.0034387564028292876,0.0015830149031898595,0.0037425408154376006,0.00287242882041023,0.1006107867651735,0.10263218240288546,0.037560491238764315,0.03778210929885967,0.0002634040356497256,0.00935822000610639,0.010276048014929921,3.594133886508644e-06
00:00:00:11.11,31.0,0.00430970526031157,6.611160370083832e-05,0.015785570003572464,0.040306520953890854,0.009169089537863275,0.07699632255753379,0.03077288520944418,0.0014514433460134926,4.6887158532620733e-05,0.026258907444571312,0.022800689417635984,0.0014706302536069298,0.001523087968962473,0.0025783670334930753,0.0006093258477903726,0.014398339870240248,0.016103347661555724,2.5188855943269532e-06,0.0017759393485903018,0.004356162889052894,0.0007915074515949297,0.0026324589744035004,0.004478260390897015,0.10158309046892094,0.10313091554417038,0.03846831357714106,0.04166473772056628,0.0005147289157321127,0.010531919178902144,0.013878443529392761,1.797066943254322e-06
00:00:00:12.12,31.0,0.007278825522916985,0.00018592495189291916,0.01972446903982923,0.04044126781082012,0.0050790891632458875,0.08828930362324164,0.03865777416831404,0.0009315495499321963,2.3443579266310367e-05,0.023609488818692556,0.024520701656001592,0.003988866326835665,0.0033229488199139866,0.0012891835167465377,0.0003046629238951863,0.017312534020675174,0.021274981969327162,1.2594427971634766e-06,0.0008879696742951509,0.004442437685156597,0.0014768711546366648,0.0031709164850326,0.0023705398107267076,0.10829952584936102,0.11197858739978979,0.03963453564165318,0.04303514374259969,0.0002573644578660564,0.009722744165628622,0.012964506293428681,7.283482045747716e-05
00:00:00:13.13,31.0,0.010325593591460291,9.296247594645958e-05,0.020748841280237615,0.044460011955379714,0.007417757279426894,0.08263982735206801,0.04247263490560722,0.0007313227806661981,0.00039400083551295514,0.02335521187069383,0.026991765444108695,0.0036212581235303826,0.0021722876126659433,0.0006445917583732688,0.00015233146194759315,0.018586264856821737,0.02166133557693678,6.297213985817383e-07,0.00044398483714757546,0.004007029879403448,0.0013288670812698325,0.0031915622066662503,0.0030204782915461037,0.11459129044033026,0.1127655043655977,0.041419047207227735,0.04286059073092469,0.001652031663070328,0.00975519654093656,0.01226942643279469,3.641741022873858e-05
00:00:00:14.14,31.0,0.007248109996680746,0.00013295081373592977,0.020283907038219657,0.04095152129048071,0.007295630048588396,0.08628707703019241,0.04166500851215456,0.00036566139033309905,0.00019700041775647757,0.015073919572841914,0.016735141845856498,0.003960412136620991,0.0026115491350537715,0.0003222958791866344,0.0011804700651225465,0.023460670341137267,0.01954066752114154,3.1486069929086915e-07,0.00022199241857378773,0.0070457456500889245,0.0024727443995402163,0.005456523888369675,0.006188827506321052,0.10590880234349237,0.10481243503363655,0.03757990677684117,0.03692665364087584,0.001961771161859314,0.00898266328840688,0.009970363377305995,1.820870511436929e-05
00:00:00:15.15,31.0,0.008027459889831272,0.00011983739642566489,0.02233008078349028,0.0506648370837865,0.008087866527773649,0.0885567904813342,0.04005733236522243,0.0005280738362216495,9.850020887823878e-05,0.020372793961769206,0.02226316078122175,0.0028966665972802457,0.0015843066069009858,0.0001611479395933172,0.0014409346417067733,0.024990623334588184,0.02263504545499012,1.5743034964543458e-07,0.00011099620928689386,0.005280194704312112,0.0012363721997701081,0.0038454047928552877,0.004296866680988326,0.12317101965004433,0.12177235967055818,0.04208396265670439,0.04197281805545567,0.001641781882199157,0.01335498749449469,0.015399988814578998,9.104352557184645e-06
00:00:00:16.16,31.0,0.008462941005916436,0.00015930944337578243,0.02266832332617239,0.0509017848330586,0.005938441752363074,0.08909788808739445,0.038639190196249666,0.0004340424035262748,4.925010443911939e-05,0.019486789101961152,0.022693342932143375,0.002030627837257223,0.001643914387500393,0.0005662065383944086,0.0016734494317560368,0.02268970826742129,0.02475995244139991,7.871517482271729e-08,5.549810464344693e-05,0.005348502608427406,0.001055787569342154,0.003297005759691244,0.0024746830889625132,0.12391506289270632,0.12417898866601715,0.04248537999771425,0.04225244103804468,0.0008208909410995785,0.015144845765007596,0.01636713746904655,4.5521762785923225e-06
00:00:00:17.17,31.0,0.008863427542195218,7.965472168789122e-05,0.023813664370805995,0.05586081896512945,0.005547796971583737,0.09099403809267412,0.032989486381040885,0.0003271929370498374,0.00021851011410940969,0.021636484411658274,0.024260971430976438,0.0014858795506142615,0.0017126587372899465,0.0031404512195365043,0.0022978625005229685,0.023026468577370396,0.028440764405104305,3.9357587411358644e-08,0.0010996771213171734,0.004548515633885553,0.000527893784671077,0.002194359422730922,0.0015100737725219065,0.13230390923632734,0.1338649456355369,0.04457435077618752,0.04622163861461099,0.00041044547054978924,0.016891763692683498,0.018603334221836524,2.2760881392961612e-06
00:00:00:18.18,31.0,0.007739164333813109,3.982736084394561e-05,0.0268053931266223,0.049254580235924474,0.008228830825281318,0.0828467609522647,0.026193214244955194,0.0001635964685249187,0.001763906073051605,0.018515522702187988,0.029731472822049868,0.0007429397753071307,0.0036440455897092734,0.0015702256097682521,0.0026743833779416344,0.0228169478338884,0.031106635112450903,1.9678793705679322e-08,0.0005498385606585867,0.0022742578169427765,0.0014166262164855886,0.002445827000343511,0.0032457399027804533,0.1428499747187572,0.14335450106131015,0.04693089830970361,0.043626670983769544,0.00020522273527489462,0.02017843963483295,0.011290087373851012,1.1380440696480806e-06
00:00:00:19.19,31.0,0.010589335313078103,2.0414731967115932e-05,0.0264541896566825,0.05768255834601628,0.007824667645490209,0.0907758885144147,0.029113125819620198,0.00018263811735150934,0.0009833098036437524,0.020405055544600193,0.028168692187477935,0.0015062659557258653,0.0022234409853040867,0.002471626228803776,0.0031568430300365673,0.02647154181509845,0.03325351659401575,9.839396852839661e-09,0.0005489795743613434,0.002692468341724188,0.0007083131082427943,0.0019178636113820556,0.0021993847021092765,0.14843259398493555,0.14913923081391542,0.04765807481157575,0.04698573298620087,0.0004386064755265973,0.019591867262022274,0.016669036359488104,5.690220348240403e-07
00:00:00:20.20,31.0,0.012524904782889451,0.00012205827587225796,0.0273646665059068,0.06329496177445999,0.010771447285014404,0.0987230670213179,0.0376279581430836,0.0002903780831289047,0.0004916549018218762,0.020869386177174896,0.027824490763748565,0.003195152038116983,0.002801120550891693,0.0022701623175115882,0.003994532811061083,0.029191023480443275,0.03401731120518997,4.9196984264198305e-09,0.0012644689201905717,0.002199479317434644,0.0007273850072210971,0.002419484952589728,0.002125626123380138,0.15709885033147228,0.15863733260151486,0.049042021937905675,0.05015988025748183,0.0009065857702167987,0.020689846616932038,0.019555330977290404,2.8451101741202015e-07
00:00:00:21.21,31.0,0.012147327003537677,6.649041351367414e-05,0.02858263949267755,0.06443551914101414,0.011339867233732303,0.10462757854459065,0.04284137692765805,0.00022865044541115235,0.000797619312564238,0.02054709046131005,0.025558154780668432,0.004292352300772891,0.0035170611411138968,0.001236999513386244,0.004066883794300492,0.030483738890065788,0.03455425509299909,2.4598492132099152e-09,0.0006322344600952858,0.002371356326226372,0.0007022133583220486,0.002401772973190164,0.001908547091698369,0.1566725923229093,0.15676033630131053,0.04997419476893489,0.049362525958237265,0.0009977403369382993,0.02077718714473062,0.02045502548687135,1.4225550870601008e-07
00:00:00:22.22,31.0,0.01202196118119309,0.00014433708874723707,0.02924334419127648,0.06332909867766287,0.008651928849269401,0.10865833564995413,0.046888469813845576,0.00011432522270557618,0.000572620060076169,0.016719806189564975,0.023749844977757516,0.004874774342720595,0.005484476054450098,0.001311660797237622,0.003730182872753696,0.029244891087598594,0.03639715392632319,5.7682693583406604e-05,0.001201825487603593,0.003761909188272536,0.0022247051131920243,0.002691338813429282,0.0009542735458491845,0.15299217917565677,0.15606799788355016,0.0485099326093343,0.049913108656017585,0.0004988701684691497,0.02083261442481186,0.018536472868285928,5.806644712080301e-05
